,STATE,COUNTY,STNAME,CTYNAME,YEAR,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
13281,51,119,Virginia,Middlesex County,2011,10854,5370,5484,4237,4442,998,918,19,20,14,28,2,3,100,73,4327,4509,1060,965,53,45,27,38,5,3,5251,5418,4138,4394,985,905,18,19,14,28,0,1,96,71,4224,4459,1046,950,49,44,27,38,3,1,119,66,99,48,13,13,1,1,0,0,2,2,4,2,103,50,14,15,4,1,0,0,2,2
13300,51,119,Virginia,Middlesex County,2012,10850,5387,5463,4217,4398,1022,935,24,19,17,30,2,3,105,78,4318,4468,1079,980,59,46,33,43,8,6,5247,5388,4099,4341,1008,921,21,19,17,30,0,1,102,76,4197,4409,1064,966,55,44,32,43,6,4,140,75,118,57,14,14,3,0,0,0,2,2,3,2,121,59,15,14,4,2,1,0,2,2
13319,51,119,Virginia,Middlesex County,2013,10781,5355,5426,4188,4370,1016,923,26,18,18,30,2,3,105,82,4282,4439,1079,975,64,46,33,46,6,4,5217,5338,4072,4301,1002,909,23,18,18,30,0,1,102,79,4163,4367,1064,959,59,45,33,46,4,2,138,88,116,69,14,14,3,0,0,0,2,2,3,3,119,72,15,16,5,1,0,0,2,2
13338,51,119,Virginia,Middlesex County,2014,10657,5248,5409,4118,4350,975,918,27,20,17,28,2,3,109,90,4216,4435,1034,978,65,45,35,40,8,5,5105,5313,3997,4273,962,905,24,20,17,28,0,1,105,86,4091,4356,1019,961,61,44,35,39,5,3,143,96,121,77,13,13,3,0,0,0,2,2,4,4,125,79,15,17,4,1,0,1,3,2
13357,51,119,Virginia,Middlesex County,2015,10686,5279,5407,4124,4364,1000,903,27,20,16,28,2,3,110,89,4221,4446,1059,961,76,47,28,40,7,5,5134,5304,4002,4279,986,889,24,20,16,28,0,1,106,87,4096,4359,1042,945,70,47,28,40,5,3,145,103,122,85,14,14,3,0,0,0,2,2,4,2,125,87,17,16,6,0,0,0,2,2
13376,51,119,Virginia,Middlesex County,2016,10749,5267,5482,4164,4426,948,913,27,24,18,30,3,3,107,86,4266,4507,1002,961,64,46,35,49,7,5,5122,5371,4043,4334,932,898,24,24,18,30,0,1,105,84,4143,4413,984,944,61,46,35,49,4,3,145,111,121,92,16,15,3,0,0,0,3,2,2,2,123,94,18,17,3,0,0,0,3,2
13395,51,119,Virginia,Middlesex County,2017,10625,5173,5452,4098,4404,915,896,30,27,18,28,3,3,109,94,4197,4490,970,950,72,56,36,48,7,4,5022,5322,3974,4297,897,879,26,26,18,28,0,1,107,91,4071,4380,951,931,67,55,36,47,4,2,151,130,124,107,18,17,4,1,0,0,3,2,2,3,126,110,19,19,5,1,0,1,3,2
13414,51,119,Virginia,Middlesex County,2018,10733,5254,5479,4146,4420,916,887,30,28,21,29,3,3,138,112,4277,4522,990,956,79,61,39,44,11,10,5091,5342,4010,4309,898,866,27,28,21,29,0,1,135,109,4138,4408,970,933,75,60,39,44,8,8,163,137,136,111,18,21,3,0,0,0,3,2,3,3,139,114,20,23,4,1,0,0,3,2
13433,51,119,Virginia,Middlesex County,2019,10582,5191,5391,4088,4387,913,846,30,27,23,28,3,3,134,100,4212,4478,994,908,71,58,41,43,7,8,5033,5241,3956,4265,895,825,27,25,23,28,0,1,132,97,4078,4354,974,885,68,54,41,43,4,6,158,150,132,122,18,21,3,2,0,0,3,2,2,3,134,124,20,23,3,4,0,0,3,2
13490,51,121,Virginia,Montgomery County,2010,94557,48890,45667,42801,40596,2008,1780,145,115,2903,2324,31,19,1002,833,43712,41361,2352,2091,369,289,3424,2745,83,62,47503,44466,41640,39583,1946,1719,93,84,2869,2286,18,14,937,780,42496,40303,2255,2001,286,242,3378,2693,66,53,1387,1201,1161,1013,62,61,52,31,34,38,13,5,65,53,1216,1058,97,90,83,47,46,52,17,9
13509,51,121,Virginia,Montgomery County,2011,94737,48947,45790,42736,40662,2011,1775,150,119,2982,2340,36,22,1032,872,43673,41469,2362,2100,371,305,3526,2785,92,60,47535,44559,41561,39637,1935,1711,102,84,2947,2296,20,16,970,815,42447,40392,2254,2011,300,247,3479,2727,68,48,1412,1231,1175,1025,76,64,48,35,35,44,16,6,62,57,1226,1077,108,89,71,58,47,58,24,12
13528,51,121,Virginia,Montgomery County,2012,95652,49578,46074,43078,40825,2047,1768,149,126,3131,2415,34,20,1139,920,44118,41666,2434,2119,395,326,3713,2874,98,69,48080,44817,41824,39781,1973,1703,99,92,3098,2372,21,17,1065,852,42798,40561,2332,2016,306,269,3664,2815,80,61,1498,1257,1254,1044,74,65,50,34,33,43,13,3,74,68,1320,1105,102,103,89,57,49,59,18,8
13547,51,121,Virginia,Montgomery County,2013,96589,50207,46382,43466,41063,2097,1772,152,134,3269,2465,32,18,1191,930,44580,41905,2511,2120,395,326,3886,2943,89,74,48679,45093,42186,39987,2016,1708,100,100,3236,2425,20,15,1121,858,43239,40768,2388,2019,319,264,3841,2888,73,64,1528,1289,1280,1076,81,64,52,34,33,40,12,3,70,72,1341,1137,123,101,76,62,45,55,16,10
13566,51,121,Virginia,Montgomery County,2014,97107,50574,46533,43562,41093,2175,1821,145,140,3407,2527,33,15,1252,937,44716,41963,2615,2171,407,343,4053,2988,105,59,48966,45221,42205,40001,2099,1755,100,104,3372,2487,21,12,1169,862,43289,40807,2499,2069,328,271,3997,2932,84,52,1608,1312,1357,1092,76,66,45,36,35,40,12,3,83,75,1427,1156,116,102,79,72,56,56,21,7
13585,51,121,Virginia,Montgomery County,2015,97317,50560,46757,43358,41144,2177,1839,155,139,3553,2674,36,13,1281,948,44533,42018,2637,2195,426,345,4205,3147,106,57,48932,45404,41993,40014,2088,1775,109,101,3522,2630,23,10,1197,874,43097,40825,2507,2094,337,272,4159,3086,87,51,1628,1353,1365,1130,89,64,46,38,31,44,13,3,84,74,1436,1193,130,101,89,73,46,61,19,6
13604,51,121,Virginia,Montgomery County,2016,98172,51015,47157,43660,41409,2214,1884,149,121,3595,2752,35,16,1362,975,44930,42306,2703,2258,413,310,4298,3247,109,67,49346,45763,42270,40238,2113,1816,102,88,3563,2706,22,13,1276,902,43464,41075,2561,2151,332,254,4248,3180,89,58,1669,1394,1390,1171,101,68,47,33,32,46,13,3,86,73,1466,1231,142,107,81,56,50,67,20,9
13623,51,121,Virginia,Montgomery County,2017,98142,50884,47258,43459,41450,2243,1885,149,124,3597,2787,33,16,1403,996,44757,42377,2764,2265,434,326,4311,3287,93,59,49136,45800,42002,40217,2138,1811,96,93,3564,2741,22,13,1314,925,43224,41082,2615,2153,340,268,4263,3224,75,52,1748,1458,1457,1233,105,74,53,31,33,46,11,3,89,71,1533,1295,149,112,94,58,48,63,18,7
13642,51,121,Virginia,Montgomery County,2018,98532,51081,47451,43645,41601,2245,1869,161,142,3562,2807,38,17,1430,1015,44973,42521,2780,2272,435,338,4280,3313,111,68,49328,45966,42184,40361,2141,1797,104,98,3526,2761,25,14,1348,935,43443,41217,2634,2162,344,262,4227,3243,88,58,1753,1485,1461,1240,104,72,57,44,36,46,13,3,82,80,1530,1304,146,110,91,76,53,70,23,10
13661,51,121,Virginia,Montgomery County,2019,98535,50976,47559,43538,41669,2313,1925,165,142,3496,2749,36,19,1428,1055,44869,42647,2849,2344,431,344,4220,3269,95,69,49107,46004,41974,40363,2198,1853,106,100,3456,2705,23,15,1350,968,43235,41266,2688,2224,341,267,4167,3204,80,61,1869,1555,1564,1306,115,72,59,42,40,44,13,4,78,87,1634,1381,161,120,90,77,53,65,15,8
13718,51,125,Virginia,Nelson County,2010,14978,7280,7698,6192,6452,918,1051,32,24,23,50,2,3,113,118,6291,6564,989,1122,71,61,36,66,7,8,7008,7510,5976,6308,888,1035,21,22,23,47,2,2,98,96,6065,6398,948,1092,53,53,34,60,6,6,272,188,216,144,30,16,11,2,0,3,0,1,15,22,226,166,41,30,18,8,2,6,1,2
13737,51,125,Virginia,Nelson County,2011,15020,7337,7683,6236,6439,917,1030,33,25,26,52,2,3,123,134,6345,6566,986,1114,76,65,47,69,6,8,7049,7472,6007,6274,887,1011,22,23,26,49,2,2,105,113,6102,6380,945,1083,57,54,44,66,6,7,288,211,229,165,30,19,11,2,0,3,0,1,18,21,243,186,41,31,19,11,3,3,0,1
13756,51,125,Virginia,Nelson County,2012,14802,7201,7601,6147,6358,860,1014,36,29,30,56,2,4,126,140,6262,6485,938,1102,75,78,51,71,5,8,6928,7399,5934,6205,833,995,21,24,30,52,2,3,108,120,6032,6314,901,1070,53,65,48,66,5,7,273,202,213,153,27,19,15,5,0,4,0,1,18,20,230,171,37,32,22,13,3,5,0,1
13775,51,125,Virginia,Nelson County,2013,14800,7210,7590,6161,6350,843,987,39,29,36,66,2,4,129,154,6281,6487,922,1072,81,82,59,95,5,13,6916,7367,5930,6180,815,966,24,24,35,63,2,3,110,131,6032,6296,884,1041,59,67,55,88,5,11,294,223,231,170,28,21,15,5,1,3,0,1,19,23,249,191,38,31,22,15,4,7,0,2
13794,51,125,Virginia,Nelson County,2014,14863,7196,7667,6151,6431,833,973,42,34,37,67,2,4,131,158,6269,6576,905,1075,89,88,59,86,6,6,6896,7426,5912,6243,806,953,27,27,36,65,2,3,113,135,6013,6368,874,1042,66,72,52,81,5,4,300,241,239,188,27,20,15,7,1,2,0,1,18,23,256,208,31,33,23,16,7,5,1,2
13813,51,125,Virginia,Nelson County,2015,14760,7170,7590,6131,6404,827,939,42,35,39,61,2,3,129,148,6250,6541,908,1022,87,86,52,87,5,8,6860,7327,5883,6191,800,921,27,29,38,59,2,2,110,125,5985,6308,870,992,64,71,49,79,5,5,310,263,248,213,27,18,15,6,1,2,0,1,19,23,265,233,38,30,23,15,3,8,0,3
13832,51,125,Virginia,Nelson County,2016,14805,7199,7606,6151,6420,829,929,43,37,42,63,2,3,132,154,6275,6566,912,1017,85,87,60,84,5,8,6874,7326,5894,6195,798,909,27,31,41,61,2,2,112,128,6000,6315,868,982,62,72,57,81,4,6,325,280,257,225,31,20,16,6,1,2,0,1,20,26,275,251,44,35,23,15,3,3,1,2
13851,51,125,Virginia,Nelson County,2017,14800,7173,7627,6140,6436,805,925,42,37,44,68,2,3,140,158,6273,6581,886,1015,87,92,63,92,6,10,6831,7336,5872,6206,776,902,26,31,43,66,2,2,112,129,5977,6325,841,978,62,73,57,86,6,7,342,291,268,230,29,23,16,6,1,2,0,1,28,29,296,256,45,37,25,19,6,6,0,3
13870,51,125,Virginia,Nelson County,2018,14862,7176,7686,6159,6474,783,924,44,36,41,79,2,3,147,170,6302,6630,863,1033,98,92,60,98,7,7,6831,7393,5884,6246,756,899,28,30,39,73,2,2,122,143,6003,6376,821,990,73,77,56,89,3,6,345,293,275,228,27,25,16,6,2,6,0,1,25,27,299,254,42,43,25,15,4,9,4,1
13889,51,125,Virginia,Nelson County,2019,14930,7216,7714,6185,6500,774,927,47,36,40,73,3,3,167,175,6338,6663,879,1039,101,91,61,95,7,9,6860,7428,5905,6277,747,902,28,30,39,71,2,2,139,146,6035,6413,832,995,72,74,58,91,5,6,356,286,280,223,27,25,19,6,1,2,1,1,28,29,303,250,47,44,29,17,3,4,2,3
13946,51,127,Virginia,New Kent County,2010,18543,9436,9107,7704,7544,1358,1166,111,83,71,95,2,1,190,218,7877,7738,1438,1255,190,178,120,152,8,16,9214,8934,7515,7398,1348,1156,102,77,68,95,2,0,179,208,7681,7582,1422,1240,176,166,113,152,8,15,222,173,189,146,10,10,9,6,3,0,0,1,11,10,196,156,16,15,14,12,7,0,0,1
13965,51,127,Virginia,New Kent County,2011,18764,9539,9225,7825,7640,1340,1185,111,75,74,103,2,1,187,221,7989,7832,1422,1279,189,173,123,163,9,9,9297,9051,7622,7493,1326,1175,102,69,71,103,2,0,174,211,7774,7675,1399,1265,177,163,118,162,9,7,242,174,203,147,14,10,9,6,3,0,0,1,13,10,215,157,23,14,12,10,5,1,0,2
13984,51,127,Virginia,New Kent County,2012,19149,9702,9447,7954,7824,1370,1204,107,78,75,114,2,1,194,226,8122,8024,1455,1291,180,181,126,169,18,15,9442,9249,7731,7656,1353,1191,101,72,72,114,2,0,183,216,7889,7846,1434,1274,168,170,121,168,18,14,260,198,223,168,17,13,6,6,3,0,0,1,11,10,233,178,21,17,12,11,5,1,0,1
14003,51,127,Virginia,New Kent County,2013,19516,9927,9589,8159,7932,1383,1218,109,86,80,120,2,1,194,232,8336,8131,1467,1312,184,186,143,185,11,21,9644,9380,7908,7755,1370,1205,103,80,77,119,2,0,184,221,8076,7943,1450,1294,174,177,137,183,11,18,283,209,251,177,13,13,6,6,3,1,0,1,10,11,260,188,17,18,10,9,6,2,0,3
14022,51,127,Virginia,New Kent County,2014,20019,10181,9838,8335,8099,1425,1271,115,87,79,127,2,1,225,253,8529,8333,1521,1372,210,196,147,187,11,14,9859,9623,8059,7925,1411,1253,109,82,75,124,2,0,203,239,8235,8146,1497,1345,194,187,138,182,9,13,322,215,276,174,14,18,6,5,4,3,0,1,22,14,294,187,24,27,16,9,9,5,2,1
14041,51,127,Virginia,New Kent County,2015,20377,10383,9994,8483,8274,1456,1229,117,100,84,132,3,3,240,256,8691,8502,1555,1327,225,209,147,206,18,15,10044,9772,8192,8096,1437,1210,109,93,81,129,3,2,222,242,8385,8313,1527,1300,206,195,141,200,18,14,339,222,291,178,19,19,8,7,3,3,0,1,18,14,306,189,28,27,19,14,6,6,0,1
14060,51,127,Virginia,New Kent County,2016,21009,10720,10289,8747,8524,1503,1248,123,107,89,137,4,6,254,267,8971,8763,1616,1347,229,230,158,208,16,23,10337,10038,8421,8329,1483,1224,115,98,85,134,4,5,229,248,8621,8550,1586,1315,209,210,150,203,15,22,383,251,326,195,20,24,8,9,4,3,0,1,25,19,350,213,30,32,20,20,8,5,1,1
14079,51,127,Virginia,New Kent County,2017,21638,11029,10609,8969,8757,1561,1319,126,112,92,136,4,7,277,278,9214,9007,1669,1435,238,231,174,218,20,17,10586,10304,8599,8517,1536,1294,118,103,88,133,4,6,241,251,8811,8742,1630,1398,215,212,163,209,17,15,443,305,370,240,25,25,8,9,4,3,0,1,36,27,403,265,39,37,23,19,11,9,3,2
14098,51,127,Virginia,New Kent County,2018,22317,11384,10933,9146,8958,1667,1393,135,116,111,157,5,7,320,302,9441,9218,1791,1527,262,249,198,233,28,26,10920,10598,8771,8698,1637,1366,125,105,106,154,5,6,276,269,9030,8929,1740,1483,228,222,186,224,23,23,464,335,375,260,30,27,10,11,5,3,0,1,44,33,411,289,51,44,34,27,12,9,5,3
14117,51,127,Virginia,New Kent County,2019,23091,11758,11333,9407,9255,1752,1448,140,124,116,166,9,8,334,332,9713,9556,1889,1584,281,259,210,256,15,32,11264,10989,8999,8985,1725,1420,130,115,111,163,9,7,290,299,9264,9255,1840,1539,251,235,197,249,15,29,494,344,408,270,27,28,10,9,5,3,0,1,44,33,449,301,49,45,30,24,13,7,0,3
14174,51,131,Virginia,Northampton County,2010,12409,5938,6471,3743,3816,2042,2508,16,12,39,50,14,8,84,77,3818,3890,2093,2552,41,34,55,61,18,15,5406,6111,3270,3489,2013,2487,14,12,39,48,0,2,70,73,3335,3560,2054,2529,35,33,51,58,2,8,532,360,473,327,29,21,2,0,0,2,14,6,14,4,483,330,39,23,6,1,4,3,16,7
14193,51,131,Virginia,Northampton County,2011,12408,5901,6507,3725,3813,2008,2531,16,14,43,56,14,8,95,85,3807,3886,2064,2590,47,37,62,71,22,9,5346,6122,3234,3466,1974,2506,14,13,43,54,0,2,81,81,3303,3535,2023,2562,38,35,58,68,5,3,555,385,491,347,34,25,2,1,0,2,14,6,14,4,504,351,41,28,9,2,4,3,17,6
14212,51,131,Virginia,Northampton County,2012,12212,5839,6373,3689,3722,1979,2484,15,15,42,55,15,7,99,90,3779,3802,2036,2540,50,46,57,64,19,14,5274,5992,3192,3383,1945,2455,13,15,42,53,1,2,81,84,3266,3458,1993,2507,40,43,55,62,3,9,565,381,497,339,34,29,2,0,0,2,14,5,18,6,513,344,43,33,10,3,2,2,16,5
14231,51,131,Virginia,Northampton County,2013,12030,5764,6266,3665,3693,1913,2412,14,14,44,56,14,10,114,81,3770,3761,1983,2459,49,44,70,72,18,16,5181,5887,3151,3360,1881,2382,12,14,42,54,0,3,95,74,3240,3422,1942,2426,39,41,63,69,2,8,583,379,514,333,32,30,2,0,2,2,14,7,19,7,530,339,41,33,10,3,7,3,16,8
14250,51,131,Virginia,Northampton County,2014,12038,5781,6257,3693,3704,1885,2379,21,17,46,52,14,8,122,97,3799,3800,1954,2432,66,45,69,69,23,12,5188,5851,3172,3342,1852,2350,17,17,44,50,0,3,103,89,3264,3430,1914,2401,50,41,64,65,6,7,593,406,521,362,33,29,4,0,2,2,14,5,19,8,535,370,40,31,16,4,5,4,17,5
14269,51,131,Virginia,Northampton County,2015,12080,5785,6295,3664,3743,1908,2384,25,20,46,51,15,8,127,89,3771,3824,1987,2435,76,50,63,67,20,11,5210,5872,3171,3369,1871,2350,18,20,44,49,1,3,105,81,3261,3442,1940,2396,54,46,57,65,5,6,575,423,493,374,37,34,7,0,2,2,14,5,22,8,510,382,47,39,22,4,6,2,15,5
14288,51,131,Virginia,Northampton County,2016,12002,5741,6261,3637,3728,1879,2342,27,18,51,57,15,9,132,107,3758,3827,1954,2413,69,46,74,74,19,11,5158,5818,3138,3333,1843,2311,22,18,48,55,1,3,106,98,3236,3423,1906,2374,55,45,65,72,3,5,583,443,499,395,36,31,5,0,3,2,14,6,26,9,522,404,48,39,14,1,9,2,16,6
14307,51,131,Virginia,Northampton County,2017,11872,5689,6183,3634,3705,1830,2289,27,18,54,57,15,9,129,105,3750,3803,1910,2354,68,54,74,73,19,10,5094,5751,3123,3323,1792,2260,22,18,51,55,1,3,105,92,3217,3408,1862,2316,51,50,67,70,4,4,595,432,511,382,38,29,5,0,3,2,14,6,24,13,533,395,48,38,17,4,7,3,15,6
14326,51,131,Virginia,Northampton County,2018,11761,5610,6151,3613,3722,1756,2249,29,16,60,58,15,9,137,97,3743,3809,1836,2309,68,50,83,70,21,11,4998,5700,3085,3321,1717,2219,24,16,57,56,1,3,114,85,3195,3397,1783,2273,55,45,77,66,5,5,612,451,528,401,39,30,5,0,3,2,14,6,23,12,548,412,53,36,13,5,6,4,16,6
14345,51,131,Virginia,Northampton County,2019,11710,5608,6102,3641,3700,1735,2217,28,18,60,62,15,10,129,95,3763,3787,1813,2280,67,45,80,77,19,11,4960,5642,3074,3290,1696,2186,23,18,57,60,1,4,109,84,3179,3366,1764,2243,53,41,73,74,4,4,648,460,567,410,39,31,5,0,3,2,14,6,20,11,584,421,49,37,14,4,7,3,15,7
14402,51,133,Virginia,Northumberland County,2010,12355,6016,6339,4442,4563,1476,1666,7,13,16,22,7,4,68,71,4507,4629,1511,1704,39,44,23,33,8,6,5794,6175,4245,4417,1462,1656,7,12,16,21,1,1,63,68,4306,4480,1493,1692,37,43,23,31,1,3,222,164,197,146,14,10,0,1,0,1,6,3,5,3,201,149,18,12,2,1,0,2,7,3
14421,51,133,Virginia,Northumberland County,2011,12451,6065,6386,4476,4609,1490,1661,6,18,16,22,7,4,70,72,4539,4673,1526,1703,37,46,28,33,8,5,5850,6209,4290,4457,1472,1647,6,14,16,21,1,1,65,69,4348,4518,1504,1687,36,41,28,32,2,2,215,177,186,152,18,14,0,4,0,1,6,3,5,3,191,155,22,16,1,5,0,1,6,3
14440,51,133,Virginia,Northumberland County,2012,12422,6070,6352,4482,4589,1485,1642,8,21,15,23,7,4,73,73,4551,4655,1517,1680,40,51,27,34,11,8,5843,6164,4288,4428,1465,1626,6,17,15,22,1,1,68,70,4352,4491,1496,1661,35,46,26,33,5,5,227,188,194,161,20,16,2,4,0,1,6,3,5,3,199,164,21,19,5,5,1,1,6,3
14459,51,133,Virginia,Northumberland County,2013,12298,6044,6254,4493,4496,1445,1632,5,21,17,27,7,4,77,74,4566,4557,1483,1669,36,55,30,43,10,8,5814,6069,4294,4341,1425,1613,5,17,17,26,1,1,72,71,4362,4399,1459,1648,35,50,30,42,4,5,230,185,199,155,20,19,0,4,0,1,6,3,5,3,204,158,24,21,1,5,0,1,6,3
14478,51,133,Virginia,Northumberland County,2014,12256,6035,6221,4508,4493,1424,1600,5,18,16,30,7,4,75,76,4578,4564,1461,1641,39,50,26,39,10,5,5788,6021,4290,4322,1406,1581,5,17,16,27,1,1,70,73,4355,4390,1439,1620,37,48,26,36,4,2,247,200,218,171,18,19,0,1,0,3,6,3,5,3,223,174,22,21,2,2,0,3,6,3
14497,51,133,Virginia,Northumberland County,2015,12241,6000,6241,4485,4511,1404,1577,7,21,17,35,7,4,80,93,4554,4596,1452,1625,41,56,25,54,9,6,5755,6027,4269,4328,1387,1559,7,18,17,32,1,1,74,89,4332,4410,1430,1605,40,51,25,50,3,2,245,214,216,183,17,18,0,3,0,3,6,3,6,4,222,186,22,20,1,5,0,4,6,4
14516,51,133,Virginia,Northumberland County,2016,12176,5993,6183,4458,4446,1412,1575,10,20,21,36,7,4,85,102,4538,4542,1456,1622,45,65,34,52,9,8,5765,5972,4263,4271,1394,1557,10,18,20,31,1,1,77,94,4335,4359,1433,1600,43,58,31,47,3,5,228,211,195,175,18,18,0,2,1,5,6,3,8,8,203,183,23,22,2,7,3,5,6,3
14535,51,133,Virginia,Northumberland County,2017,12271,6025,6246,4442,4468,1457,1597,12,17,23,38,7,4,84,122,4520,4584,1500,1666,47,59,34,58,10,9,5787,6033,4240,4294,1438,1578,10,15,22,33,1,1,76,112,4310,4400,1476,1642,43,53,32,51,4,6,238,213,202,174,19,19,2,2,1,5,6,3,8,10,210,184,24,24,4,6,2,7,6,3
14554,51,133,Virginia,Northumberland County,2018,12168,5972,6196,4425,4420,1414,1589,12,15,22,37,9,5,90,130,4509,4532,1465,1666,48,67,32,56,11,9,5728,5985,4212,4249,1400,1570,10,12,21,32,3,2,82,120,4288,4353,1445,1639,44,59,31,50,5,6,244,211,213,171,14,19,2,3,1,5,6,3,8,10,221,179,20,27,4,8,1,6,6,3
14573,51,133,Virginia,Northumberland County,2019,12095,5925,6170,4376,4381,1420,1602,14,15,22,40,8,5,85,127,4454,4500,1463,1679,48,50,33,60,13,13,5679,5953,4166,4205,1401,1582,12,12,21,35,3,2,76,117,4236,4314,1441,1651,42,46,30,54,7,8,246,217,210,176,19,20,2,3,1,5,5,3,9,10,218,186,22,28,6,4,3,6,6,5
14630,51,135,Virginia,Nottoway County,2010,15840,8365,7475,4750,4479,3461,2824,46,47,31,20,12,2,65,103,4807,4577,3501,2878,71,83,41,43,14,7,8002,7231,4486,4318,3405,2773,19,25,31,20,3,0,58,95,4537,4408,3440,2822,42,58,41,41,4,5,363,244,264,161,56,51,27,22,0,0,9,2,7,8,270,169,61,56,29,25,0,2,10,2
14649,51,135,Virginia,Nottoway County,2011,15894,8437,7457,4783,4448,3490,2821,46,48,33,21,12,2,73,117,4851,4548,3530,2892,71,87,45,45,14,7,8077,7208,4518,4282,3439,2773,20,24,33,21,3,0,64,108,4579,4374,3476,2837,38,62,44,43,5,5,360,249,265,166,51,48,26,24,0,0,9,2,9,9,272,174,54,55,33,25,1,2,9,2
14668,51,135,Virginia,Nottoway County,2012,15756,8407,7349,4772,4370,3458,2780,47,49,34,26,12,3,84,121,4848,4479,3506,2842,72,90,48,52,19,13,8047,7110,4509,4213,3408,2734,20,25,34,26,3,1,73,111,4574,4313,3451,2789,40,63,47,50,10,11,360,239,263,157,50,46,27,24,0,0,9,2,11,10,274,166,55,53,32,27,1,2,9,2
14687,51,135,Virginia,Nottoway County,2013,15637,8317,7320,4689,4351,3442,2764,48,50,38,29,14,3,86,123,4767,4458,3492,2832,73,90,57,62,18,11,7953,7070,4423,4181,3390,2718,21,26,38,29,3,1,78,115,4495,4281,3435,2783,41,63,56,60,7,8,364,250,266,170,52,46,27,24,0,0,11,2,8,8,272,177,57,49,32,27,1,2,11,3
14706,51,135,Virginia,Nottoway County,2014,15511,8209,7302,4637,4346,3380,2722,52,53,35,38,12,2,93,141,4718,4474,3437,2806,82,104,55,57,16,10,7852,7059,4379,4187,3327,2675,25,29,35,38,3,0,83,130,4450,4306,3379,2754,51,74,54,55,7,7,357,243,258,159,53,47,27,24,0,0,9,2,10,11,268,168,58,52,31,30,1,2,9,3
14725,51,135,Virginia,Nottoway County,2015,15606,8416,7190,4686,4280,3534,2678,51,57,36,32,14,2,95,141,4770,4405,3591,2762,89,102,52,62,16,11,8038,6929,4412,4099,3478,2629,24,33,36,32,3,0,85,136,4486,4219,3531,2711,57,76,49,61,5,9,378,261,274,181,56,49,27,24,0,0,11,2,10,5,284,186,60,51,32,26,3,1,11,2
14744,51,135,Virginia,Nottoway County,2016,15495,8405,7090,4660,4235,3545,2631,50,54,37,36,14,2,99,132,4747,4356,3601,2697,81,110,58,54,20,10,8021,6819,4382,4045,3489,2581,23,31,37,36,3,0,87,126,4458,4160,3539,2645,49,84,56,54,9,6,384,271,278,190,56,50,27,23,0,0,11,2,12,6,289,196,62,52,32,26,2,0,11,4
14763,51,135,Virginia,Nottoway County,2017,15432,8356,7076,4645,4241,3501,2593,50,59,41,37,14,2,105,144,4735,4370,3561,2667,90,114,55,64,21,9,7966,6794,4357,4034,3448,2548,23,36,41,37,3,0,94,139,4436,4159,3503,2621,58,88,54,62,10,7,390,282,288,207,53,45,27,23,0,0,11,2,11,5,299,211,58,46,32,26,1,2,11,2
14782,51,135,Virginia,Nottoway County,2018,15400,8328,7072,4630,4238,3480,2590,52,60,40,38,14,2,112,144,4736,4356,3544,2678,91,118,56,62,19,11,7925,6764,4333,4014,3427,2536,23,37,40,38,3,0,99,139,4426,4128,3483,2622,58,92,55,62,6,8,403,308,297,224,53,54,29,23,0,0,11,2,13,5,310,228,61,56,33,26,1,0,13,3
14801,51,135,Virginia,Nottoway County,2019,15232,8241,6991,4567,4196,3446,2544,56,60,46,39,15,5,111,147,4672,4325,3512,2631,91,111,62,68,19,15,7825,6678,4264,3975,3391,2490,26,36,46,39,3,0,95,138,4354,4095,3449,2571,55,83,60,66,6,10,416,313,303,221,55,54,30,24,0,0,12,5,16,9,318,230,63,60,36,28,2,2,13,5
14858,51,137,Virginia,Orange County,2010,33578,16458,17120,13779,14329,2160,2163,45,56,103,160,13,14,358,398,14099,14691,2368,2395,146,160,189,253,27,39,15835,16593,13260,13882,2103,2117,32,48,96,157,5,10,339,379,13563,14226,2299,2339,127,145,180,248,18,34,623,527,519,447,57,46,13,8,7,3,8,4,19,19,536,465,69,56,19,15,9,5,9,5
