,County,Percent_Overall,Disparity_White_Male,Disparity_White_Female,Disparity_Black_Male,Disparity_Black_Female,Disparity_Hispanic_Male,Disparity_Hispanic_Female,Disparity_Asian_Pac_Male,Disparity_Asian_Pac_Female,year
174,Hanover County,0.119,-0.018000000000000002,-0.06,0.7709999999999999,0.062,-0.119,-0.119,-0.119,-0.119,2016
175,Henrico County,0.184,0.053,-0.091,0.366,-0.114,-0.173,-0.184,-0.17,-0.184,2016
176,Henry County,0.532,0.133,-0.202,0.691,-0.268,-0.532,-0.532,-0.532,-0.532,2016
177,Highland County,0.09,-0.09,-0.09,14.196,-0.09,-0.09,-0.09,-0.09,-0.09,2016
178,Isle of Wight County,0.19,-0.024,-0.093,0.547,-0.078,-0.19,-0.19,-0.19,-0.19,2016
179,James City County,0.134,-0.04,-0.079,0.861,0.0,-0.134,-0.134,-0.134,-0.134,2016
180,King and Queen County,0.326,0.039,-0.113,0.625,-0.326,-0.326,-0.326,-0.326,-0.326,2016
181,King George County,0.177,0.008,-0.066,0.473,-0.13,-0.177,-0.177,-0.177,0.264,2016
182,King William County,0.104,-0.041,-0.042,0.535,-0.038,-0.104,-0.104,-0.104,-0.104,2016
183,Lancaster County,0.279,-0.109,-0.025,0.4270000000000001,-0.094,-0.279,-0.279,-0.279,-0.279,2016
184,Lee County,0.41,-0.009000000000000001,-0.153,1.976,2.154,-0.41,-0.41,-0.41,-0.41,2016
185,Loudoun County,0.04,0.009000000000000001,-0.018000000000000002,0.289,0.02,-0.04,-0.04,-0.04,-0.04,2016
186,Louisa County,0.261,-0.041,-0.114,0.894,-0.023,-0.261,-0.261,-0.261,-0.261,2016
187,Lunenburg County,0.106,-0.056,-0.026,0.239,-0.106,-0.106,-0.106,-0.106,-0.106,2016
188,Madison County,0.153,-0.008,-0.119,1.306,0.016,-0.153,-0.153,-0.153,-0.153,2016
189,Mathews County,0.14800000000000002,-0.014,-0.047,0.391,0.343,-0.14800000000000002,-0.14800000000000002,-0.14800000000000002,-0.14800000000000002,2016
190,Mecklenburg County,0.415,-0.02,-0.233,0.8270000000000001,-0.28800000000000003,-0.415,-0.415,-0.415,-0.415,2016
191,Middlesex County,0.26,0.076,-0.147,0.478,-0.041,-0.26,-0.26,-0.26,-0.26,2016
192,Montgomery County,0.179,-0.03,-0.068,2.486,-0.02,-0.179,-0.179,-0.151,-0.179,2016
193,Nelson County,0.257,0.068,-0.21,1.1909999999999998,0.066,-0.257,-0.257,-0.257,-0.257,2016
194,New Kent County,0.129,-0.003,-0.08199999999999999,0.536,-0.049,-0.129,-0.129,0.946,-0.129,2016
195,Northampton County,0.275,-0.138,-0.141,0.789,-0.147,-0.275,-0.275,-0.275,-0.275,2016
196,Northumberland County,0.304,0.122,-0.214,0.688,-0.304,-0.304,-0.304,-0.304,-0.304,2016
197,Nottoway County,0.258,0.064,-0.069,0.193,-0.258,0.002,-0.258,-0.258,-0.258,2016
198,Orange County,0.229,0.03,-0.102,0.682,-0.059,-0.229,-0.229,-0.229,-0.229,2016
199,Page County,0.419,-0.105,-0.28,14.601,3.372,-0.419,-0.419,1.664,-0.419,2016
200,Patrick County,0.242,0.017,-0.11,1.742,-0.033,-0.242,-0.242,-0.242,-0.242,2016
201,Pittsylvania County,0.193,0.026,-0.08,0.338,-0.12,-0.081,-0.193,0.542,-0.193,2016
202,Powhatan County,0.109,-0.022,-0.027000000000000003,0.155,0.358,-0.109,-0.109,-0.109,-0.109,2016
203,Prince Edward County,0.491,0.334,-0.2,0.197,-0.413,-0.211,-0.491,-0.491,-0.491,2016
204,Prince George County,0.09,0.031,-0.045,0.077,-0.051,-0.09,-0.09,-0.09,-0.09,2016
205,Prince William County,0.098,0.043,-0.025,0.145,-0.067,-0.098,-0.098,-0.093,-0.098,2016
206,Pulaski County,0.575,0.046,-0.254,3.653,0.447,-0.575,-0.575,-0.575,-0.575,2016
207,Rappahannock County,0.136,-0.076,-0.02,2.274,-0.136,-0.136,-0.136,-0.136,-0.136,2016
208,Richmond County,0.354,0.041,-0.17800000000000002,0.365,-0.139,-0.354,-0.354,-0.354,-0.354,2016
209,Roanoke County,0.125,0.008,-0.055,0.701,0.188,-0.125,-0.125,-0.058,-0.125,2016
210,Rockbridge County,0.285,0.02,-0.163,4.917,0.044,-0.285,-0.285,-0.285,-0.285,2016
211,Rockingham County,0.185,-0.017,-0.086,3.684,0.479,-0.114,-0.185,-0.185,-0.185,2016
212,Russell County,0.642,0.054000000000000006,-0.35100000000000003,21.451,1.319,-0.113,-0.642,-0.642,-0.642,2016
213,Scott County,0.616,-0.062,-0.3,32.076,8.08,0.033,-0.616,-0.616,-0.616,2016
214,Shenandoah County,0.198,-0.016,-0.038,2.1590000000000003,0.224,-0.198,-0.198,-0.198,-0.198,2016
215,Smyth County,0.318,0.009000000000000001,-0.16699999999999998,5.932,-0.318,-0.318,-0.318,1.015,-0.318,2016
216,Southampton County,0.21,0.13699999999999998,-0.136,0.173,-0.177,-0.21,-0.21,-0.21,-0.21,2016
217,Spotsylvania County,0.153,0.032,-0.053,0.262,-0.07,-0.13699999999999998,-0.153,0.032,-0.106,2016
218,Stafford County,0.213,0.069,-0.098,0.369,-0.1,-0.213,-0.213,-0.213,-0.18,2016
219,Surry County,0.153,-0.041,0.078,0.076,-0.08800000000000001,-0.153,-0.153,-0.153,-0.153,2016
220,Sussex County,0.237,0.273,0.059,-0.064,-0.198,-0.237,-0.237,-0.237,-0.237,2016
221,Tazewell County,0.773,-0.044,-0.38,8.684,1.878,-0.358,-0.773,-0.773,-0.128,2016
222,Warren County,0.309,-0.006,-0.202,3.553,0.767,-0.309,-0.309,-0.309,-0.309,2016
223,Washington County,0.303,-0.051,-0.138,10.508,1.269,-0.303,-0.303,0.33,-0.303,2016
224,Westmoreland County,0.255,-0.003,-0.046,0.37,-0.175,-0.255,-0.255,-0.255,-0.255,2016
225,Wise County,0.664,-0.077,-0.405,4.019,4.2860000000000005,-0.311,-0.664,0.635,-0.664,2016
226,Wythe County,0.436,-0.1,-0.258,11.203,0.8170000000000001,-0.436,-0.436,2.267,-0.436,2016
227,York County,0.068,0.013,-0.026,0.09,0.036000000000000004,-0.068,-0.068,-0.068,-0.068,2016
228,Alexandria city,0.022,0.008,-0.009000000000000001,0.047,-0.017,-0.022,-0.022,-0.022,-0.022,2016
229,Bristol city,0.4270000000000001,0.025,-0.208,3.833,-0.204,-0.4270000000000001,-0.4270000000000001,-0.4270000000000001,-0.4270000000000001,2016
230,Buena Vista city,0.373,0.114,-0.184,2.694,-0.373,-0.373,-0.373,-0.373,-0.373,2016
231,Charlottesville city,0.187,0.032,-0.086,0.524,-0.063,-0.187,-0.187,-0.187,-0.187,2016
232,Chesapeake city,0.214,0.083,-0.051,0.201,-0.158,-0.214,-0.2,-0.187,-0.214,2016
233,Colonial Heights city,0.333,0.031,-0.126,1.053,-0.189,-0.134,-0.333,-0.333,-0.333,2016
234,Covington city,,,,,,,,,,2016
235,Danville city,0.722,0.32299999999999995,-0.052000000000000005,0.502,-0.5670000000000001,-0.722,-0.722,-0.023,-0.722,2016
236,Emporia city,,,,,,,,,,2016
237,Fairfax city,,,,,,,,,,2016
